"nm_municipio","count"
"SÃO PAULO","2483114"
"GUARULHOS","273535"
"CAMPINAS","250221"
"SÃO BERNARDO DO CAMPO","179449"
"OSASCO","168859"
"SANTO ANDRÉ","156024"
"SÃO JOSÉ DOS CAMPOS","152746"
"SOROCABA","134089"
"RIBEIRÃO PRETO","131550"
"MOGI DAS CRUZES","99391"
