"nm_municipio","count"
"SÃO PAULO","208968"
"CAMPINAS","23897"
"GUARULHOS","30413"
"SÃO JOSÉ DOS CAMPOS","13086"
"SANTOS","11386"
"SOROCABA","9951"
"SANTO ANDRÉ","9672"
"JUNDIAÍ","9233"
"DIADEMA","8866"
"RIBEIRÃO PRETO","8667"
